199,DARCILIO DE MIRANDA
200,DAS CANOAS
201,TRES FAZENDAS
202,EMIDIO BERUTO
203,NELSON DE SENNA
204,JOAO PAULO I
205,DOS GEOLOGOS
206,WIVER HERNANDES DA SILVA
207,FERNANDO CORNELIO DE PAULA
208,RAUL SEIXAS
209,GERALDO MAGELA DE ALMEIDA
210,SANTO ONOFRE
211,LEOPOLDO CAMPOS NUNES
212,DOUTOR LUIS RATTON
213,MAURETTE JOSE DOS SANTOS
214,ROMUALDO LOPES CANCADO
215,IOLE MONTEIRO DE LIMA
216,DESEMBARGADOR JOSE SATYRO
217,ALTAMIRO AVELINO SOARES
218,ELSON NUNES DE SOUZA
219,RITA DE PINHO TAVARES
220,CECILIA FONSECA COUTINHO
221,GOVERNADOR MARIO COVAS
222,AFONSO RICALDONI
223,DOS CONTADORES
224,DOS BIBLIOTECARIOS
225,TENENTE ANTONIO JOAO
226,DESEMBARGADOR CAMPOS
227,JUSTINO CARNEIRO
228,ANTONIO GRAVATA
229,CHICO REI
230,DONA LUCI
231,FERNANDO CANDIDO DE SOUZA
232,INACIO PARREIRA NEVES
233,ALBERTO NEPOMUCENO
234,MARCOS COELHO NETO
235,RAUL MOURAO GUIMARAES
236,PINTOR GERALDO GONCALVES
237,LOURIVAL GONCALVES OLIVEIRA
238,SAO JOSE
239,CIPRESTE
240,DOS ALAMOS
241,DAS TUIAS
242,DAS QUARESMEIRAS
243,CRISANTEMO
244,BRIGADEIRO EDUARDO GOMES
245,IMPERIAL
246,SAO MATIAS
247,QUITANDINHA
248,VERONICA
249,MONTANA
250,PALESTINA
251,NILO
252,BROTAS
253,FUNDAO
254,BARBOSA
255,CONCEICAO DA BARRA
256,VALAO
257,PIUMA
258,ENEIDA
259,VILA VELHA
260,MONTE VERDE
261,LUNAR
262,LUME
263,FRANCISCO BRAGA
264,CAMARGO GUARNIERI
265,ITIBERE DA CUNHA
266,LUIZ COSME
267,PADRE JOSE MAURICIO
268,CAPIM BRANCO
269,CONDE DE PALMA
270,INDEPENDENCIA
271,SARARE
272,VDT LESTE
273,TUN PRESIDENTE TANCREDO NEVES
274,CRISTIANO MACHADO
275,PITANGUI
276,JACUI
277,VOLTS
278,LADAINHA
